meanR;meanG;meanB;stdR;stdG;stdB;skewR;skewG;skewB;kurR;kurG;kurB;entR;entG;entB;Class
16.50883529;14.54101563;3.697656635;39.00359808;35.15102678;12.55557197;2.160062873;2.253878637;4.887698684;3.241858794;3.666655573;28.15582715;11.31375644;11.28508068;10.90808486;1
15.14869946;14.79704065;3.223700228;37.74110587;37.05270813;11.7223838;2.335861023;2.318487449;5.235272527;4.217922331;3.932605016;33.3764269;11.22121514;11.21253744;10.77228668;1
17.87629823;16.31455906;5.001076723;44.88439291;41.07401553;14.42601562;2.234496119;2.239980819;3.450113575;3.330965057;3.315561437;13.71047233;11.19086706;11.18736003;11.05363857;1
16.37252681;14.41710968;3.850967317;42.05905473;37.28157874;12.33547466;2.297718505;2.337136436;4.538704307;3.626167547;3.8352534;25.63268436;11.14996995;11.1429279;10.94867587;1
14.24889438;15.16840021;2.624306583;35.15172164;37.68393559;9.853244063;2.244240173;2.265744381;6.005698882;3.552315843;3.616289152;47.29051809;11.23131751;11.22190162;10.76794824;1
18.70790765;17.15000925;4.233253976;45.77456523;42.16080711;12.45051963;2.144710604;2.1635867;4.035876153;2.884152703;2.945622258;21.44669709;11.23332743;11.22781748;11.0621791;1
18.13462502;16.12515795;4.408351439;45.75130677;40.94610066;13.21623169;2.259215768;2.288834963;3.780492123;3.44583582;3.571431616;16.97023266;11.18544598;11.17794413;11.01251308;1
17.71495354;16.37529855;3.883737056;43.29738151;40.29127063;12.11846474;2.15549431;2.188885816;4.720525536;2.979526645;3.132307121;29.36764158;11.23709637;11.22961902;11.01449399;1
18.90086253;16.78296043;4.89044972;47.22873092;42.28505226;14.4487908;2.206449653;2.250767769;3.68052239;3.134148696;3.349460586;15.66281349;11.19841292;11.18932901;11.0349531;1
14.50447061;13.0701873;3.653867342;36.4686437;33.52195456;11.80835349;2.320304599;2.428172293;4.640203245;3.887401409;4.460401668;26.71474522;11.20441672;11.18214613;10.95175333;1
17.56061814;15.30237033;4.093917576;43.89651038;38.77918422;13.41701942;2.296978493;2.357151067;4.620109625;3.794094343;4.046727031;25.39520543;11.21176597;11.19581041;10.93574081;1
18.21569511;16.15152706;4.082329805;43.61891397;39.22729253;12.8169371;2.127443637;2.188862037;4.394300663;2.891930844;3.153382321;23.3146132;11.27935543;11.26259101;11.00467573;1
18.73683085;16.13049148;5.070308648;46.63608795;40.77887876;15.13043032;2.284396614;2.354844317;3.78823483;3.716504241;4.047035945;16.45002117;11.22055318;11.2019274;11.03682395;1
17.92059603;16.38342117;4.368154432;43.83456111;40.39465049;13.78219969;2.21864615;2.252346591;4.212128582;3.451389473;3.56828178;20.39287385;11.2443483;11.23532997;10.98141626;1
16.81493274;14.6552927;4.039632643;41.9415091;37.00882694;13.11636419;2.333898676;2.385890249;4.423907162;4.134654744;4.339423141;23.37951238;11.22018707;11.20577203;10.9300925;1
14.89178455;14.61709697;3.251259708;38.9279295;38.60581596;11.82113469;2.524156826;2.563049723;5.279601508;5.219368302;5.360655299;34.20838635;11.14780974;11.13492066;10.7656569;1
17.73792106;15.65137682;4.108269385;45.27994566;40.43645295;13.33324556;2.322267608;2.388191119;4.449330766;3.826257582;4.174148165;23.95056043;11.16959167;11.15602601;10.92324651;1
16.34980006;13.8829011;4.065391164;43.5535766;37.62794385;13.92057221;2.488427639;2.592532794;4.423691597;4.761870119;5.387656876;22.13949691;11.10059473;11.08119004;10.81742479;1
12.90163492;11.25406805;3.658459304;34.96748616;30.98487371;12.44197733;2.528652865;2.626858445;4.679618988;4.91106913;5.505616696;26.59145157;11.06874289;11.05152845;10.83683666;1
17.10509508;14.44007913;3.180388622;43.65327885;37.57432599;11.40810126;2.304990598;2.414182707;5.388250993;3.70649164;4.299633191;36.39301193;11.16694899;11.1452684;10.79731453;1
14.21204312;12.84897374;3.887980384;37.92961494;34.73392048;12.90542759;2.46019199;2.534489835;4.513351188;4.540094943;4.965226427;24.89716167;11.09120967;11.07670117;10.87085019;1
15.1252427;12.10128321;3.764030141;40.57736403;32.88293075;12.30787555;2.466678738;2.535012319;4.72919255;4.49442482;4.877545183;29.40238615;11.08307015;11.06787312;10.90121046;1
19.30398638;16.96810666;4.629048786;47.97125689;42.6110135;14.71698002;2.256740697;2.318483189;4.132029623;3.556868216;3.891139709;19.17356083;11.21779265;11.20666946;10.95577922;1
18.7063282;15.30217964;3.984977888;46.89716706;39.02709829;13.32579827;2.307097108;2.414856999;4.5030921;3.845542794;4.477110562;23.79641394;11.20692443;11.18891018;10.87782684;1
20.04142204;17.07910156;4.268466084;47.90495366;41.48365484;13.53458037;2.122238428;2.203989938;4.328742506;2.839914689;3.248905083;21.99222766;11.28392363;11.26571732;10.98499488;1
